SDAFRDHOME_DSC_2,RACETHX_DSC,sample_n
N/A or Undeterminable,Hispanic,315
N/A or Undeterminable,Non-Hispanic White Only,586
N/A or Undeterminable,Non-Hispanic Black Only,240
N/A or Undeterminable,Non-Hispanic Asian Only,63
N/A or Undeterminable,Non-Hispanic Other Race or Multiple Race,38
"""Excellent"", ""Very good"", or ""Good""",Hispanic,1554
"""Excellent"", ""Very good"", or ""Good""",Non-Hispanic White Only,5254
"""Excellent"", ""Very good"", or ""Good""",Non-Hispanic Black Only,1135
"""Excellent"", ""Very good"", or ""Good""",Non-Hispanic Asian Only,427
"""Excellent"", ""Very good"", or ""Good""",Non-Hispanic Other Race or Multiple Race,215
"""Fair"" or ""Poor""",Hispanic,1080
"""Fair"" or ""Poor""",Non-Hispanic White Only,3373
"""Fair"" or ""Poor""",Non-Hispanic Black Only,692
"""Fair"" or ""Poor""",Non-Hispanic Asian Only,277
"""Fair"" or ""Poor""",Non-Hispanic Other Race or Multiple Race,172
