HIDEG_DSC,RACETHX_DSC,sample_n
"N/A, Don't Know, or Undeterminable",Hispanic,27
"N/A, Don't Know, or Undeterminable",Non-Hispanic White Only,21
"N/A, Don't Know, or Undeterminable",Non-Hispanic Black Only,20
"N/A, Don't Know, or Undeterminable",Non-Hispanic Asian Only,8
"N/A, Don't Know, or Undeterminable",Non-Hispanic Other Race or Multiple Race,3
Did not complete high school,Hispanic,1010
Did not complete high school,Non-Hispanic White Only,599
Did not complete high school,Non-Hispanic Black Only,345
Did not complete high school,Non-Hispanic Asian Only,42
Did not complete high school,Non-Hispanic Other Race or Multiple Race,53
Completed GED or high school,Hispanic,1886
Completed GED or high school,Non-Hispanic White Only,8567
Completed GED or high school,Non-Hispanic Black Only,1695
Completed GED or high school,Non-Hispanic Asian Only,713
Completed GED or high school,Non-Hispanic Other Race or Multiple Race,366
Inapplicable - Under 16,Hispanic,26
Inapplicable - Under 16,Non-Hispanic White Only,26
Inapplicable - Under 16,Non-Hispanic Black Only,7
Inapplicable - Under 16,Non-Hispanic Asian Only,4
Inapplicable - Under 16,Non-Hispanic Other Race or Multiple Race,3
